Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"2","'004","Afghanistan","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","7776.176000","7879.339000","7987.783000","8096.698000","8207.950000","8326.979000","8454.301000","8588.335000","8723.401000","8869.270000","9035.043000","9214.083000","9404.406000","9604.487000","9814.318000","10036.008000","10266.395000","10505.959000","10756.922000","11017.409000","11290.128000","11567.667000","11853.696000","12157.999000","12469.127000","12773.954000","13059.851000","13340.756000","13611.441000","13655.567000","13169.311000","11937.581000","10991.378000","10917.982000","11190.221000","11426.852000","11420.074000","11387.818000","11523.298000","11874.088000","12045.660000","12238.879000","13278.974000","14943.172000","16250.794000","17065.836000","17763.266000","18452.091000","19159.996000","19887.785000","20130.327000","20284.307000","21378.117000","22733.049000","23560.654000","24404.567000","25424.094000","25909.852000","26482.622000","27466.100000","28284.089000","29347.708000","30560.034000","31622.704000","32792.523000","33831.764000","34700.612000","35688.935000","36743.039000","37856.121000","39068.979000","40000.412000","40578.842000","41454.761000","42647.492000","43844.111000","45047.069000","46258.906000","47470.574000","48725.716000","50039.402000","51376.001000","52707.848000","54044.254000","55359.464000","56647.232000","57953.661000","59279.044000","60597.838000","61944.472000","63347.870000","64738.843000","66060.220000","67375.163000","68703.958000","70021.200000","71384.693000","72756.311000","74109.735000","75515.602000","76885.135000","78155.052000","79457.286000","80821.896000","82196.810000","83578.886000","84980.652000","86393.649000","87773.542000","89081.741000","90362.736000","91633.723000","92931.629000","94276.121000","95639.081000","97024.251000","98338.760000","99577.253000","100850.614000","102132.889000","103416.642000","104657.106000","105836.162000","107063.245000","108265.518000","109352.869000","110399.880000","111475.822000","112514.314000","113583.427000","114673.795000","115634.326000","116516.232000","117378.535000","118292.973000","119224.273000","120043.239000","120858.257000","121694.041000","122483.519000","123304.496000","124110.001000","124854.161000","125589.411000","126306.889000","126990.147000","127647.762000","128305.496000","128964.762000","129616.118000","130216.739000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","4118.834000","4164.117000","4211.936000","4259.924000","4309.195000","4362.582000","4420.326000","4481.736000","4543.887000","4611.824000","4690.245000","4775.684000","4867.111000","4963.703000","5065.414000","5173.290000","5285.658000","5402.775000","5525.922000","5654.144000","5788.703000","5925.771000","6067.256000","6218.247000","6372.901000","6524.498000","6666.595000","6806.361000","6939.643000","6954.359000","6697.575000","6062.427000","5570.564000","5520.174000","5639.757000","5736.473000","5717.132000","5691.607000","5753.395000","5926.628000","6011.167000","6106.550000","6624.209000","7456.723000","8113.904000","8525.665000","8880.573000","9232.074000","9593.051000","9964.824000","10094.646000","10179.792000","10737.198000","11426.685000","11851.533000","12284.657000","12805.479000","13056.362000","13350.888000","13853.157000","14272.309000","14815.165000","15432.887000","15974.952000","16570.680000","17099.520000","17541.316000","18038.999000","18564.622000","19119.647000","19725.450000","20186.456000","20475.675000","20924.078000","21532.540000","22142.580000","22755.660000","23373.054000","23990.047000","24629.156000","25298.195000","25978.666000","26656.265000","27335.853000","28004.138000","28657.846000","29320.753000","29993.025000","30661.478000","31343.913000","32055.115000","32759.322000","33427.187000","34091.231000","34761.880000","35426.061000","36113.552000","36804.679000","37485.813000","38193.394000","38881.622000","39517.880000","40170.216000","40854.116000","41542.711000","42234.378000","42935.595000","43641.958000","44330.635000","44981.795000","45618.435000","46249.508000","46894.096000","47562.301000","48239.607000","48927.984000","49579.562000","50191.580000","50821.287000","51455.289000","52089.787000","52701.861000","53282.077000","53886.820000","54478.741000","55011.448000","55523.433000","56050.429000","56558.192000","57081.947000","57616.997000","58085.497000","58513.858000","58932.550000","59378.563000","59833.552000","60230.921000","60626.666000","61033.545000","61416.903000","61816.855000","62209.223000","62570.473000","62927.649000","63276.144000","63607.509000","63926.196000","64245.639000","64566.719000","64884.666000","65177.409000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","3657.341000","3715.222000","3775.847000","3836.774000","3898.755000","3964.398000","4033.976000","4106.599000","4179.515000","4257.446000","4344.798000","4438.399000","4537.295000","4640.784000","4748.904000","4862.718000","4980.738000","5103.185000","5230.999000","5363.265000","5501.424000","5641.896000","5786.440000","5939.752000","6096.225000","6249.456000","6393.256000","6534.395000","6671.798000","6701.208000","6471.736000","5875.154000","5420.815000","5397.808000","5550.465000","5690.379000","5702.941000","5696.212000","5769.903000","5947.460000","6034.493000","6132.329000","6654.764000","7486.449000","8136.890000","8540.170000","8882.693000","9220.017000","9566.944000","9922.960000","10035.682000","10104.514000","10640.919000","11306.364000","11709.120000","12119.909000","12618.615000","12853.489000","13131.734000","13612.943000","14011.779000","14532.542000","15127.147000","15647.752000","16221.843000","16732.244000","17159.297000","17649.936000","18178.417000","18736.474000","19343.528000","19813.956000","20103.167000","20530.683000","21114.952000","21701.532000","22291.409000","22885.852000","23480.528000","24096.561000","24741.207000","25397.335000","26051.583000","26708.401000","27355.326000","27989.387000","28632.908000","29286.019000","29936.360000","30600.559000","31292.755000","31979.520000","32633.033000","33283.933000","33942.078000","34595.139000","35271.141000","35951.632000","36623.921000","37322.208000","38003.513000","38637.171000","39287.070000","39967.779000","40654.099000","41344.509000","42045.058000","42751.692000","43442.908000","44099.946000","44744.300000","45384.215000","46037.534000","46713.820000","47399.474000","48096.268000","48759.198000","49385.673000","50029.326000","50677.599000","51326.855000","51955.245000","52554.086000","53176.426000","53786.776000","54341.421000","54876.448000","55425.392000","55956.122000","56501.480000","57056.798000","57548.829000","58002.374000","58445.984000","58914.409000","59390.721000","59812.318000","60231.590000","60660.496000","61066.616000","61487.641000","61900.779000","62283.689000","62661.762000","63030.745000","63382.637000","63721.567000","64059.858000","64398.043000","64731.452000","65039.329000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","551","Rural population","1000 No","7286.991000","7352.856000","7425.363000","7504.561000","7590.370000","7682.763000","7781.641000","7886.997000","7998.664000","8116.554000","8240.554000","8370.731000","8507.016000","8649.566000","8798.496000","8954.064000","9113.479000","9276.202000","9446.519000","9630.541000","9830.690000","10045.261000","10267.199000","10487.151000","10692.696000","10872.864000","11033.148000","11170.461000","11255.639000","11251.885000","11129.292000","10891.902000","10563.504000","10190.525000","9834.677000","9544.582000","9321.752000","9166.105000","9117.520000","9293.948000","9655.167000","10230.490000","10995.568000","11858.090000","12690.115000","13401.971000","13952.791000","14373.573000","14733.655000","15137.497000","15657.474000","16318.324000","17086.910000","17909.063000","18692.107000","19378.962000","19961.972000","20464.923000","20929.119000","21415.593000","21966.187000","22594.126000","23280.663000","23997.856000","24703.798000","25368.923000","25985.093000","26558.609000","27099.874000","27626.382000","28150.604000","28674.023000","29191.512000","29701.149000","30199.465000","30683.762000","31153.570000","31609.269000","32049.876000","32474.347000","32881.648000","33270.867000","33641.099000","33991.382000","34320.722000","34628.216000","34913.055000","35174.475000","35411.646000","35623.832000","35810.485000","35971.542000","36107.678000","36221.721000","36314.614000","36386.218000","36436.477000","36465.547000","36473.780000","36461.658000","36429.603000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","3010","Population - Est. & Proj.","561","Urban population","1000 No","465.127000","486.654000","509.617000","534.035000","560.077000","587.818000","617.389000","648.810000","682.282000","717.891000","755.797000","796.033000","838.852000","884.388000","932.865000","984.350000","1038.852000","1096.428000","1157.827000","1223.887000","1295.433000","1372.564000","1454.741000","1540.671000","1628.845000","1717.422000","1807.151000","1897.077000","1982.095000","2054.810000","2119.078000","2162.052000","2186.141000","2198.744000","2212.438000","2238.468000","2279.289000","2336.656000","2423.368000","2483.661000","2593.947000","2763.167000","2985.663000","3237.009000","3482.604000","3697.570000","3870.093000","4008.032000","4130.344000","4266.179000","4436.282000","4648.139000","4893.013000","5155.788000","5426.872000","5691.836000","5931.478000","6151.869000","6364.912000","6588.738000","6836.980000","7114.473000","7416.295000","7733.832000","8054.222000","8367.571000","8670.939000","8971.472000","9273.302000","9582.625000","9904.337000","10239.684000","10587.583000","10948.055000","11320.521000","11704.638000","12100.876000","12510.046000","12932.441000","13368.312000","13817.897000","14281.457000","14759.230000","15251.394000","15758.064000","16279.334000","16815.273000","17365.885000","17931.018000","18510.406000","19103.637000","19710.141000","20328.618000","20955.421000","21588.764000","22228.097000","22872.875000","23522.644000","24177.043000","24835.782000","25498.515000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","'051","Armenia","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3571.861000","3453.332000","3364.610000","3307.581000","3278.735000","3246.289000","3208.401000","3167.286000","3125.628000","3084.349000","3055.630000","3038.968000","3022.541000","3006.351000","2990.377000","2974.819000","2959.990000","2945.517000","2931.078000","2923.271000","2922.528000","2922.518000","2922.422000","2921.177000","2918.793000","2914.963000","2909.965000","2903.972000","2890.892000","2870.349000","2880.874000","2943.393000","2973.840000","2952.365000","2930.915000","2910.495000","2890.816000","2871.013000","2851.291000","2831.832000","2812.787000","2794.033000","2775.367000","2756.725000","2738.165000","2719.927000","2701.970000","2683.821000","2665.523000","2647.711000","2630.115000","2612.703000","2595.825000","2579.220000","2562.512000","2545.697000","2528.833000","2511.980000","2495.207000","2478.352000","2461.256000","2444.630000","2428.066000","2411.271000","2394.610000","2377.610000","2360.627000","2343.622000","2326.386000","2309.097000","2291.874000","2274.519000","2256.816000","2238.873000","2220.726000","2202.465000","2184.010000","2165.468000","2146.964000","2128.443000","2109.841000","2091.133000","2072.510000","2054.124000","2036.143000","2018.466000","2000.862000","1983.524000","1966.512000","1949.737000","1933.253000","1917.262000","1901.746000","1886.568000","1871.671000","1857.165000","1843.170000","1829.561000","1816.236000","1803.138000","1790.311000","1777.677000","1765.143000","1752.811000","1740.658000","1728.533000","1716.394000","1704.282000","1692.198000"
"1","'051","Armenia","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1708.594000","1649.380000","1605.180000","1576.984000","1563.082000","1547.568000","1523.824000","1492.700000","1461.046000","1434.439000","1419.485000","1410.994000","1402.578000","1394.217000","1385.886000","1377.697000","1368.304000","1357.372000","1346.182000","1340.737000","1341.380000","1342.429000","1343.440000","1343.842000","1343.633000","1342.648000","1341.812000","1341.086000","1336.435000","1327.816000","1333.939000","1365.373000","1380.776000","1370.142000","1359.534000","1349.464000","1339.794000","1330.094000","1320.479000","1311.049000","1301.891000","1292.961000","1284.163000","1275.473000","1266.933000","1258.671000","1250.678000","1242.718000","1234.808000","1227.273000","1219.972000","1212.886000","1206.181000","1199.713000","1193.278000","1186.856000","1180.460000","1174.103000","1167.800000","1161.457000","1154.987000","1148.736000","1142.485000","1136.080000","1129.704000","1123.111000","1116.483000","1109.804000","1102.970000","1096.073000","1089.181000","1082.206000","1075.040000","1067.748000","1060.360000","1052.924000","1045.403000","1037.854000","1030.339000","1022.838000","1015.314000","1007.747000","1000.236000","992.850000","985.660000","978.608000","971.574000","964.648000","957.845000","951.108000","944.456000","937.986000","931.682000","925.461000","919.293000","913.229000","907.322000","901.505000","895.730000","889.971000","884.246000","878.525000","872.769000","867.028000","861.308000","855.543000","849.715000","843.857000","837.979000"
"1","'051","Armenia","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1863.267000","1803.953000","1759.430000","1730.598000","1715.653000","1698.721000","1684.576000","1674.586000","1664.582000","1649.910000","1636.145000","1627.975000","1619.963000","1612.133000","1604.491000","1597.122000","1591.686000","1588.144000","1584.896000","1582.534000","1581.147000","1580.089000","1578.982000","1577.335000","1575.159000","1572.315000","1568.153000","1562.886000","1554.457000","1542.533000","1546.936000","1578.020000","1593.064000","1582.222000","1571.381000","1561.032000","1551.022000","1540.919000","1530.813000","1520.784000","1510.896000","1501.072000","1491.205000","1481.252000","1471.232000","1461.256000","1451.292000","1441.103000","1430.715000","1420.439000","1410.143000","1399.817000","1389.645000","1379.507000","1369.234000","1358.841000","1348.372000","1337.877000","1327.408000","1316.896000","1306.270000","1295.895000","1285.581000","1275.191000","1264.906000","1254.499000","1244.144000","1233.818000","1223.416000","1213.024000","1202.693000","1192.313000","1181.776000","1171.125000","1160.367000","1149.542000","1138.607000","1127.614000","1116.625000","1105.605000","1094.527000","1083.385000","1072.274000","1061.275000","1050.483000","1039.858000","1029.288000","1018.876000","1008.667000","998.630000","988.798000","979.275000","970.065000","961.107000","952.378000","943.937000","935.848000","928.056000","920.506000","913.167000","906.064000","899.152000","892.375000","885.783000","879.350000","872.989000","866.679000","860.424000","854.220000"
"1","'051","Armenia","3010","Population - Est. & Proj.","551","Rural population","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1140.314000","1123.071000","1105.535000","1092.052000","1084.134000","1080.782000","1081.011000","1082.796000","1084.598000","1086.476000","1085.046000","1082.281000","1079.095000","1075.092000","1069.827000","1063.546000","1057.443000","1053.182000","1051.946000","1054.190000","1059.405000","1065.858000","1072.043000","1076.799000","1079.792000","1081.248000","1081.275000","1080.164000","1078.125000","1075.114000","1070.987000","1065.772000","1059.501000","1052.215000","1043.935000","1034.690000","1024.529000","1013.504000","1001.669000","989.064000","975.726000","961.718000","947.106000","931.948000","916.293000","900.189000","883.700000","867.304000","851.051000","834.944000","818.982000","803.152000","787.430000","771.803000","756.271000","740.843000","725.520000","710.307000","695.207000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","'051","Armenia","3010","Population - Est. & Proj.","561","Urban population","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2302.496000","2240.027000","2178.125000","2125.290000","2084.081000","2052.304000","2027.673000","2006.221000","1984.990000","1964.179000","1948.851000","1935.525000","1921.517000","1906.167000","1888.673000","1869.510000","1850.777000","1835.402000","1825.365000","1821.391000","1822.517000","1827.651000","1834.177000","1840.151000","1845.024000","1849.202000","1852.877000","1856.542000","1860.554000","1864.830000","1869.102000","1873.397000","1877.736000","1882.155000","1886.653000","1891.231000","1895.921000","1900.764000","1905.794000","1911.015000","1916.428000","1922.073000","1927.990000","1934.202000","1940.705000","1947.468000","1954.413000","1961.056000","1967.348000","1973.284000","1978.853000","1984.011000","1988.681000","1992.815000","1996.387000","1999.405000","2001.846000","2003.709000","2004.977000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
